entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-12 15:00:00,2024-01-12 15:00:00,direct_entry,2024-02-14 16:00:00,expiry,210,175,7.950406251475542,1.2676386284799612,6.682767622995581,19.430000000000007,0.0,-12.747232377004426
2024-01-25 14:00:00,2024-01-25 14:00:00,direct_entry,2024-02-28 16:00:00,expiry,175,145,6.948801254714795,1.0749928325155693,5.873808422199225,0.0,0.0,5.873808422199225
2024-02-13 12:30:00,2024-02-13 12:30:00,direct_entry,2024-03-13 16:00:00,expiry,180,150,7.619364744419855,1.1044932634152946,6.51487148100456,10.75,0.0,-4.23512851899544
2024-02-13 15:30:00,2024-02-13 15:30:00,direct_entry,2024-03-13 16:00:00,expiry,180,150,7.459743941506574,1.0679908801848441,6.3917530613217295,10.75,0.0,-4.3582469386782705
2024-03-14 13:30:00,2024-03-14 13:30:00,direct_entry,2024-04-17 16:00:00,expiry,155,130,5.371192555221221,0.9411689569405972,4.4300235982806235,0.18000000000000682,0.0,4.250023598280617
2024-03-14 15:30:00,2024-03-14 15:30:00,direct_entry,2024-04-17 16:00:00,expiry,155,130,5.575732804914708,0.9845775383863042,4.5911552665284034,0.18000000000000682,0.0,4.411155266528397
2024-04-19 05:30:00,2024-04-19 05:30:00,direct_entry,2024-05-22 16:00:00,expiry,140,120,4.762300590149991,1.0895376349022143,3.6727629552477765,0.0,0.0,3.6727629552477765
2024-04-19 07:30:00,2024-04-19 07:30:00,direct_entry,2024-05-22 16:00:00,expiry,140,120,4.900395304678703,1.1256257344282208,3.7747695702504824,0.0,0.0,3.7747695702504824
2024-04-22 09:30:00,2024-04-22 09:30:00,direct_entry,2024-05-22 16:00:00,expiry,140,115,5.825810417392532,0.7113375713189427,5.114472846073589,0.0,0.0,5.114472846073589
2024-05-08 09:30:00,2024-05-08 09:30:00,direct_entry,2024-06-05 16:00:00,expiry,165,140,5.143420664973384,0.8515906005098053,4.2918300644635785,0.0,0.0,4.2918300644635785
2024-07-19 14:30:00,2024-07-19 14:30:00,direct_entry,2024-08-21 16:00:00,expiry,230,195,8.715359385837374,1.7536310513173916,6.961728334519982,6.860000000000014,0.0,0.10172833451996866
2024-08-02 14:00:00,2024-08-02 14:00:00,direct_entry,2024-09-04 16:00:00,expiry,200,170,7.506027563169923,1.5591985276968217,5.946829035473101,0.0,0.0,5.946829035473101
2024-08-05 09:30:00,2024-08-05 09:30:00,direct_entry,2024-09-04 16:00:00,expiry,190,160,6.793772840391057,1.1252198448820998,5.668552995508957,0.0,0.0,5.668552995508957
2024-10-22 12:30:00,2024-10-22 12:30:00,direct_entry,2024-11-20 16:00:00,expiry,210,180,7.976466014940328,1.660842417612809,6.315623597327519,0.0,0.0,6.315623597327519
2024-12-30 10:00:00,2024-12-30 10:00:00,direct_entry,2025-01-29 16:00:00,expiry,405,340,15.465189294853957,2.4998562499214856,12.965333044932471,1.990000000000009,0.0,10.975333044932462
2025-02-25 14:30:00,2025-02-25 14:30:00,direct_entry,2025-03-26 16:00:00,expiry,290,245,10.152864315828069,1.6785272201206602,8.474337095707408,17.410000000000025,0.0,-8.935662904292617
2025-02-26 15:30:00,2025-02-26 15:30:00,direct_entry,2025-03-26 16:00:00,expiry,280,240,9.62215081402779,1.8823066589541675,7.739844155073623,7.410000000000025,0.0,0.329844155073598
2025-03-18 11:00:00,2025-03-18 11:00:00,direct_entry,2025-04-16 16:00:00,expiry,220,185,8.006804425238826,1.258728728742586,6.74807569649624,0.0,0.0,6.74807569649624
2025-04-21 12:00:00,2025-04-21 12:00:00,direct_entry,2025-05-21 16:00:00,expiry,215,185,7.270230136653254,1.5996472623993903,5.6705828742538635,0.0,0.0,5.6705828742538635
2025-09-02 09:00:00,2025-09-02 09:00:00,direct_entry,2025-10-01 16:00:00,expiry,320,270,12.835451137009912,2.190396668858412,10.6450544681515,0.0,0.0,10.6450544681515
2025-11-14 09:00:00,2025-11-14 09:00:00,direct_entry,2025-12-17 16:00:00,expiry,375,310,15.692415861541889,2.3357426242516617,13.356673237290227,0.0,0.0,13.356673237290227
2026-01-27 11:30:00,2026-01-27 11:30:00,direct_entry,2026-02-25 16:00:00,expiry,420,355,15.23879144331039,2.575690523448017,12.663100919862373,2.8799999999999955,0.0,9.783100919862378
2026-01-27 14:30:00,2026-01-27 14:30:00,direct_entry,2026-02-25 16:00:00,expiry,420,355,16.15956422449392,2.768776521080902,13.390787703413018,2.8799999999999955,0.0,10.510787703413023
2026-01-28 16:00:00,2026-01-28 16:00:00,direct_entry,2026-02-25 16:00:00,expiry,430,365,15.841897662487668,2.743479938166793,13.098417724320875,12.879999999999995,0.0,0.21841772432087936
2026-03-26 16:00:00,2026-03-26 16:00:00,direct_entry,2026-03-27 19:30:00,force_close,360,300,13.937637217375226,2.3046095037063097,11.633027713668916,0.0,0.0,11.633027713668916
2026-03-27 09:00:00,2026-03-27 09:00:00,direct_entry,2026-03-27 19:30:00,force_close,355,300,13.425630131076417,2.6028271202478344,10.822803010828583,0.0,0.0,10.822803010828583
2026-03-27 15:00:00,2026-03-27 15:00:00,direct_entry,2026-03-27 19:30:00,force_close,350,290,14.277960488159408,2.1564342122087474,12.12152627595066,0.0,0.0,12.12152627595066
