entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-21 09:00:00,2024-02-21 09:00:00,direct_entry,2024-02-28 16:00:00,expiry,120,115,1.5556,0.4880,1.0676,0.0000,0.0000,1.0676
2024-05-31 08:00:00,2024-05-31 08:00:00,direct_entry,2024-06-12 16:00:00,expiry,150,135,4.4110,0.5198,3.8911,0.0000,0.0000,3.8911
2024-06-24 17:00:00,2024-06-24 17:00:00,direct_entry,2024-07-03 16:00:00,expiry,165,150,3.7534,0.3542,3.3992,0.0000,0.0000,3.3992
2024-07-19 19:00:00,2024-07-19 19:00:00,direct_entry,2024-07-31 16:00:00,expiry,160,150,3.3138,0.8686,2.4452,0.0000,0.0000,2.4452
2024-08-02 11:00:00,2024-08-02 11:00:00,direct_entry,2024-08-14 16:00:00,expiry,150,135,3.8328,0.4089,3.4238,0.0000,0.0000,3.4238
2024-12-12 17:00:00,2024-12-12 17:00:00,direct_entry,2024-12-26 04:00:00,expiry,190,175,5.0381,1.0203,4.0178,0.0000,0.0000,4.0178
2025-02-13 15:00:00,2025-02-13 15:00:00,direct_entry,2025-02-26 16:00:00,expiry,195,180,4.1115,0.7951,3.3164,0.0000,0.0000,3.3164
2025-03-10 15:00:00,2025-03-10 15:00:00,direct_entry,2025-03-19 16:00:00,expiry,165,155,2.6245,0.5534,2.0711,0.0000,0.0000,2.0711
2025-03-31 08:00:00,2025-03-31 08:00:00,direct_entry,2025-04-09 16:00:00,expiry,160,145,4.1311,0.4044,3.7268,0.5800,0.0000,3.1468
2025-06-13 09:00:00,2025-06-13 09:00:00,direct_entry,2025-06-25 16:00:00,expiry,205,190,4.2260,0.8565,3.3695,0.0000,0.0000,3.3695
2026-03-02 09:00:00,2026-03-02 09:00:00,direct_entry,2026-03-11 16:00:00,expiry,360,335,6.7782,1.1938,5.5844,6.7000,0.0000,-1.1156
2026-03-23 07:00:00,2026-03-23 07:00:00,direct_entry,2026-03-27 19:00:00,force_close,325,300,7.5033,1.1723,6.3310,0.4000,0.0000,5.9310
