entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-31 14:30:00,2024-01-31 14:30:00,direct_entry,2024-02-28 16:00:00,expiry,110,95,4.1512,0.5313,3.6199,0.0000,0.0000,3.6199
2024-03-11 10:20:00,2024-03-11 10:20:00,direct_entry,2024-04-10 16:00:00,expiry,135,120,4.9965,1.0698,3.9267,0.0000,0.0000,3.9267
2024-05-17 11:50:00,2024-05-17 11:50:00,direct_entry,2024-06-20 04:00:00,expiry,145,125,5.1479,0.7188,4.4290,0.0000,0.0000,4.4290
2024-06-24 08:20:00,2024-06-24 08:20:00,direct_entry,2024-07-24 16:00:00,expiry,165,145,6.3003,1.1488,5.1515,5.1300,0.0000,0.0215
2024-09-03 16:55:00,2024-09-03 16:55:00,direct_entry,2024-10-02 16:00:00,expiry,155,135,5.9344,0.9064,5.0280,0.0000,0.0000,5.0280
2024-10-28 15:20:00,2024-10-28 15:20:00,direct_entry,2024-11-27 16:00:00,expiry,190,165,7.5105,1.1465,6.3640,9.0100,0.0000,-2.6460
2024-12-12 16:20:00,2024-12-12 16:20:00,direct_entry,2025-01-15 16:00:00,expiry,185,160,7.7005,1.2525,6.4479,0.0000,0.0000,6.4479
2025-01-27 05:05:00,2025-01-27 05:05:00,direct_entry,2025-02-26 16:00:00,expiry,195,170,7.9965,1.3382,6.6583,0.2000,0.0000,6.4583
2025-03-03 13:45:00,2025-03-03 13:45:00,direct_entry,2025-04-02 16:00:00,expiry,170,145,7.1547,0.8469,6.3078,0.2000,0.0000,6.1078
2025-04-21 11:55:00,2025-04-21 11:55:00,direct_entry,2025-05-21 16:00:00,expiry,140,125,4.9062,1.0976,3.8087,0.0000,0.0000,3.8087
2025-05-30 10:00:00,2025-05-30 10:00:00,direct_entry,2025-07-02 16:00:00,expiry,185,160,6.7672,1.0119,5.7553,0.0000,0.0000,5.7553
2025-08-19 16:00:00,2025-08-19 16:00:00,direct_entry,2025-09-17 16:00:00,expiry,225,195,8.1073,1.1052,7.0020,0.0000,0.0000,7.0020
2025-10-22 13:05:00,2025-10-22 13:05:00,direct_entry,2025-11-19 16:00:00,expiry,280,245,10.4280,1.6533,8.7746,0.0000,0.0000,8.7746
2025-12-15 16:10:00,2025-12-15 16:10:00,direct_entry,2026-01-14 16:00:00,expiry,280,240,11.4302,1.4355,9.9947,0.0000,0.0000,9.9947
2026-01-20 12:55:00,2026-01-20 12:55:00,direct_entry,2026-02-18 16:00:00,expiry,320,275,12.6282,1.5795,11.0487,0.0000,0.0000,11.0487
2026-03-03 09:35:00,2026-03-03 09:35:00,direct_entry,2026-03-27 19:55:00,force_close,340,295,12.3923,1.7464,10.6459,15.4000,0.0000,-4.7541
