entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-08 18:00:00,2024-02-08 18:00:00,direct_entry,2024-02-16 16:00:00,expiry,135,145,3.4357,0.6806,2.7551,0.0000,0.0000,2.7551
2024-03-07 15:00:00,2024-03-07 15:00:00,direct_entry,2024-03-15 16:00:00,expiry,150,165,3.8830,0.3922,3.4908,0.0000,0.0000,3.4908
2024-03-08 11:00:00,2024-03-08 11:00:00,direct_entry,2024-03-15 16:00:00,expiry,150,160,3.3642,0.7113,2.6529,0.0000,0.0000,2.6529
2024-03-13 08:00:00,2024-03-13 08:00:00,direct_entry,2024-03-22 16:00:00,expiry,145,160,3.8460,0.4255,3.4205,0.0000,0.0000,3.4205
2024-04-09 09:00:00,2024-04-09 09:00:00,direct_entry,2024-04-19 16:00:00,expiry,150,160,2.8892,0.7296,2.1596,0.0000,0.0000,2.1596
2024-04-10 08:00:00,2024-04-10 08:00:00,direct_entry,2024-04-19 16:00:00,expiry,150,160,2.8051,0.6568,2.1483,0.0000,0.0000,2.1483
2024-05-15 06:00:00,2024-05-15 06:00:00,direct_entry,2024-05-24 16:00:00,expiry,155,170,3.6410,0.4478,3.1933,5.0700,0.0000,-1.8767
2024-07-11 08:00:00,2024-07-11 08:00:00,direct_entry,2024-07-19 16:00:00,expiry,195,210,4.5483,0.8333,3.7150,0.0000,0.0000,3.7150
2024-08-07 11:00:00,2024-08-07 11:00:00,direct_entry,2024-08-16 16:00:00,expiry,165,175,2.9280,0.7745,2.1534,9.3600,0.0000,-7.2066
2024-08-09 08:00:00,2024-08-09 08:00:00,direct_entry,2024-08-16 16:00:00,expiry,170,185,3.7453,0.4309,3.3145,4.3600,0.0000,-1.0455
2024-10-14 10:00:00,2024-10-14 10:00:00,direct_entry,2024-10-25 16:00:00,expiry,195,215,5.0100,0.6747,4.3352,8.4900,0.0000,-4.1548
2024-12-03 19:00:00,2024-12-03 19:00:00,direct_entry,2024-12-13 16:00:00,expiry,205,220,3.8209,0.7919,3.0290,0.0000,0.0000,3.0290
2024-12-18 12:00:00,2024-12-18 12:00:00,direct_entry,2024-12-27 16:00:00,expiry,210,225,3.6368,0.7219,2.9148,0.0000,0.0000,2.9148
2025-01-22 06:00:00,2025-01-22 06:00:00,direct_entry,2025-01-31 16:00:00,expiry,225,245,5.0405,0.7389,4.3015,0.0000,0.0000,4.3015
2025-01-24 05:00:00,2025-01-24 05:00:00,direct_entry,2025-01-31 16:00:00,expiry,230,245,3.9697,0.7957,3.1740,0.0000,0.0000,3.1740
2025-01-29 10:00:00,2025-01-29 10:00:00,direct_entry,2025-02-07 16:00:00,expiry,210,225,3.6999,0.7450,2.9550,0.0000,0.0000,2.9550
2025-01-30 19:00:00,2025-01-30 19:00:00,direct_entry,2025-02-07 16:00:00,expiry,210,230,5.2597,0.5801,4.6796,0.0000,0.0000,4.6796
2025-01-31 13:00:00,2025-01-31 13:00:00,direct_entry,2025-02-07 16:00:00,expiry,215,230,4.5821,0.8596,3.7225,0.0000,0.0000,3.7225
2025-04-02 16:00:00,2025-04-02 16:00:00,direct_entry,2025-04-11 16:00:00,expiry,165,180,3.8805,0.5314,3.3491,0.0000,0.0000,3.3491
2025-04-24 16:00:00,2025-04-24 16:00:00,direct_entry,2025-05-02 16:00:00,expiry,165,180,3.9340,0.4826,3.4514,14.5000,0.0000,-11.0486
2025-04-29 15:00:00,2025-04-29 15:00:00,direct_entry,2025-05-09 16:00:00,expiry,170,180,3.0052,0.8722,2.1330,6.7900,0.0000,-4.6570
2025-04-30 08:00:00,2025-04-30 08:00:00,direct_entry,2025-05-09 16:00:00,expiry,165,180,4.6928,0.7419,3.9509,11.7900,0.0000,-7.8391
2025-05-02 13:00:00,2025-05-02 13:00:00,direct_entry,2025-05-09 16:00:00,expiry,180,195,4.0367,0.5268,3.5100,0.0000,0.0000,3.5100
2025-05-13 17:00:00,2025-05-13 17:00:00,direct_entry,2025-05-23 16:00:00,expiry,200,215,3.7316,0.7444,2.9873,0.0000,0.0000,2.9873
2025-05-16 08:00:00,2025-05-16 08:00:00,direct_entry,2025-05-23 16:00:00,expiry,200,210,3.1542,0.9253,2.2289,0.0000,0.0000,2.2289
2025-06-04 15:00:00,2025-06-04 15:00:00,direct_entry,2025-06-13 16:00:00,expiry,205,225,4.9454,0.5802,4.3652,5.8000,0.0000,-1.4348
2025-06-06 15:00:00,2025-06-06 15:00:00,direct_entry,2025-06-13 16:00:00,expiry,210,225,3.4202,0.5296,2.8906,0.8000,0.0000,2.0906
2025-06-09 08:00:00,2025-06-09 08:00:00,direct_entry,2025-06-20 16:00:00,expiry,210,230,5.4894,0.8884,4.6011,0.0000,0.0000,4.6011
2025-06-10 11:00:00,2025-06-10 11:00:00,direct_entry,2025-06-20 16:00:00,expiry,215,235,5.1664,0.7655,4.4009,0.0000,0.0000,4.4009
2025-06-10 13:00:00,2025-06-10 13:00:00,direct_entry,2025-06-20 16:00:00,expiry,215,235,5.2965,0.7895,4.5070,0.0000,0.0000,4.5070
2025-06-11 07:00:00,2025-06-11 07:00:00,direct_entry,2025-06-20 16:00:00,expiry,220,235,4.1781,0.9509,3.2272,0.0000,0.0000,3.2272
2025-07-03 04:00:00,2025-07-03 04:00:00,direct_entry,2025-07-11 16:00:00,expiry,240,255,4.1169,0.9735,3.1434,0.0000,0.0000,3.1434
