entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-08 10:30:00,2024-01-08 10:30:00,direct_entry,2024-01-17 16:00:00,expiry,105,115,2.0276,0.2266,1.8010,0.0000,0.0000,1.8010
2024-01-18 04:45:00,2024-01-18 04:45:00,direct_entry,2024-01-31 16:00:00,expiry,110,120,2.7268,0.5438,2.1830,2.9800,0.0000,-0.7970
2024-01-19 13:15:00,2024-01-19 13:15:00,direct_entry,2024-01-31 16:00:00,expiry,115,130,3.8102,0.3481,3.4621,0.0000,0.0000,3.4621
2024-02-07 14:15:00,2024-02-07 14:15:00,direct_entry,2024-02-14 16:00:00,expiry,125,135,2.8446,0.4099,2.4347,4.2700,0.0000,-1.8353
2024-02-08 15:40:00,2024-02-08 15:40:00,direct_entry,2024-02-21 16:00:00,expiry,135,150,4.2815,0.6221,3.6593,0.0000,0.0000,3.6593
2024-03-06 12:15:00,2024-03-06 12:15:00,direct_entry,2024-03-13 16:00:00,expiry,145,155,2.9263,0.5487,2.3777,0.0000,0.0000,2.3777
2024-03-08 04:55:00,2024-03-08 04:55:00,direct_entry,2024-03-20 16:00:00,expiry,160,175,3.7773,0.6514,3.1259,0.0000,0.0000,3.1259
2024-03-20 16:40:00,2024-03-20 16:40:00,direct_entry,2024-03-27 16:00:00,expiry,140,150,2.9176,0.5071,2.4105,0.0000,0.0000,2.4105
2024-04-08 09:05:00,2024-04-08 09:05:00,direct_entry,2024-04-17 16:00:00,expiry,150,160,2.4397,0.5393,1.9004,0.0000,0.0000,1.9004
2024-04-17 09:40:00,2024-04-17 09:40:00,direct_entry,2024-04-24 16:00:00,expiry,145,155,2.3580,0.4039,1.9541,0.0000,0.0000,1.9541
2024-04-23 09:30:00,2024-04-23 09:30:00,direct_entry,2024-05-01 16:00:00,expiry,135,145,2.1341,0.3480,1.7861,0.0000,0.0000,1.7861
