entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-09 09:55:00,2024-01-09 09:55:00,direct_entry,2024-02-07 16:00:00,expiry,95,85,2.7199720991423106,0.5682319739041422,2.1517401252381685,0.0,0.0,2.1517401252381685
2024-01-12 13:45:00,2024-01-12 13:45:00,direct_entry,2024-02-14 16:00:00,expiry,100,85,4.967377577051678,0.6729564453212671,4.294421131730411,0.0,0.0,4.294421131730411
2024-01-31 14:30:00,2024-01-31 14:30:00,direct_entry,2024-02-28 16:00:00,expiry,110,95,4.15118416469106,0.5312670807971376,3.619917083893922,0.0,0.0,3.619917083893922
2024-02-12 10:25:00,2024-02-12 10:25:00,direct_entry,2024-03-13 16:00:00,expiry,130,110,5.83425570554752,0.6335247212850987,5.200730984262421,0.0,0.0,5.200730984262421
2024-02-13 14:05:00,2024-02-13 14:05:00,direct_entry,2024-03-13 16:00:00,expiry,125,105,5.598835066451933,0.5154582187130075,5.083376847738926,0.0,0.0,5.083376847738926
2024-02-13 15:25:00,2024-02-13 15:25:00,direct_entry,2024-03-13 16:00:00,expiry,125,105,5.638916110415977,0.5206859289217718,5.118230181494205,0.0,0.0,5.118230181494205
2024-02-27 16:20:00,2024-02-27 16:20:00,direct_entry,2024-03-27 16:00:00,expiry,125,110,4.862508627762246,0.884599176747944,3.977909451014302,0.0,0.0,3.977909451014302
2024-03-05 13:25:00,2024-03-05 13:25:00,direct_entry,2024-04-03 16:00:00,expiry,130,115,4.974239535264402,0.9778936986276907,3.9963458366367117,0.0,0.0,3.9963458366367117
2024-03-11 10:20:00,2024-03-11 10:20:00,direct_entry,2024-04-10 16:00:00,expiry,135,120,4.9965228497250465,1.0697770211539925,3.926745828571054,0.0,0.0,3.926745828571054
2024-03-11 13:45:00,2024-03-11 13:45:00,direct_entry,2024-04-10 16:00:00,expiry,135,120,4.839760111407756,1.018887367308789,3.820872744098967,0.0,0.0,3.820872744098967
2024-03-11 15:25:00,2024-03-11 15:25:00,direct_entry,2024-04-10 16:00:00,expiry,135,115,5.259942043661404,0.5798789220613809,4.680063121600023,0.0,0.0,4.680063121600023
