entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-10 10:30:00,2024-01-10 10:30:00,direct_entry,2024-02-07 16:00:00,expiry,55,60,1.2560,0.1913,1.0648,1.4600,0.0000,-0.3952
2024-02-07 09:40:00,2024-02-07 09:40:00,direct_entry,2024-03-06 16:00:00,expiry,58,63,1.3323,0.2282,1.1041,2.5500,0.0000,-1.4459
2024-02-12 12:15:00,2024-02-12 12:15:00,direct_entry,2024-03-13 16:00:00,expiry,58,63,1.3698,0.2510,1.1188,3.2800,0.0000,-2.1612
2024-02-20 14:30:00,2024-02-20 14:30:00,direct_entry,2024-03-20 16:00:00,expiry,60,65,1.4631,0.2824,1.1808,1.2500,0.0000,-0.0692
2024-02-26 12:00:00,2024-02-26 12:00:00,direct_entry,2024-03-27 16:00:00,expiry,61,66,1.3817,0.2736,1.1081,0.0000,0.0000,1.1081
2024-03-05 10:45:00,2024-03-05 10:45:00,direct_entry,2024-04-03 16:00:00,expiry,61,67,1.6877,0.2471,1.4406,0.0000,0.0000,1.4406
2024-03-07 14:05:00,2024-03-07 14:05:00,direct_entry,2024-04-10 16:00:00,expiry,62,68,1.6283,0.2756,1.3527,0.0000,0.0000,1.3527
2024-03-12 09:30:00,2024-03-12 09:30:00,direct_entry,2024-04-10 16:00:00,expiry,62,67,1.5319,0.3180,1.2140,0.0000,0.0000,1.2140
2024-04-10 15:55:00,2024-04-10 15:55:00,direct_entry,2024-05-08 16:00:00,expiry,62,67,1.3921,0.2673,1.1249,0.0000,0.0000,1.1249
2024-04-11 09:30:00,2024-04-11 09:30:00,direct_entry,2024-05-15 16:00:00,expiry,62,68,1.5531,0.2579,1.2952,0.0000,0.0000,1.2952
2024-04-22 14:30:00,2024-04-22 14:30:00,direct_entry,2024-05-22 16:00:00,expiry,62,67,1.3501,0.2700,1.0800,3.2500,0.0000,-2.1700
2024-05-16 04:30:00,2024-05-16 04:30:00,direct_entry,2024-06-20 04:00:00,expiry,62,68,1.4974,0.2454,1.2520,5.8300,0.0000,-4.5780
2024-05-21 13:05:00,2024-05-21 13:05:00,direct_entry,2024-06-20 04:00:00,expiry,66,72,1.6717,0.2764,1.3953,1.8300,0.0000,-0.4347
2024-05-22 13:20:00,2024-05-22 13:20:00,direct_entry,2024-06-20 04:00:00,expiry,67,72,1.5011,0.3325,1.1686,0.8300,0.0000,0.3386
2024-06-04 13:30:00,2024-06-04 13:30:00,direct_entry,2024-07-03 16:15:00,expiry,68,74,1.5594,0.2608,1.2986,0.2200,0.0000,1.0786
2024-06-17 12:50:00,2024-06-17 12:50:00,direct_entry,2024-07-17 16:00:00,expiry,69,75,1.5287,0.2668,1.2619,1.7200,0.0000,-0.4581
2024-06-20 14:30:00,2024-06-20 14:30:00,direct_entry,2024-07-24 16:00:00,expiry,69,76,1.9958,0.3216,1.6742,1.5800,0.0000,0.0942
2024-07-05 14:05:00,2024-07-05 14:05:00,direct_entry,2024-08-07 16:00:00,expiry,71,78,1.9607,0.3193,1.6415,0.0000,0.0000,1.6415
2024-07-09 12:50:00,2024-07-09 12:50:00,direct_entry,2024-08-07 16:00:00,expiry,72,78,1.5623,0.2858,1.2765,0.0000,0.0000,1.2765
2024-07-17 12:25:00,2024-07-17 12:25:00,direct_entry,2024-08-14 16:00:00,expiry,72,78,1.7576,0.3309,1.4266,0.0000,0.0000,1.4266
2024-08-01 15:15:00,2024-08-01 15:15:00,direct_entry,2024-09-04 16:00:00,expiry,71,78,1.8166,0.2914,1.5252,6.2400,0.0000,-4.7148
2024-08-30 10:50:00,2024-08-30 10:50:00,direct_entry,2024-10-02 16:00:00,expiry,78,86,2.1374,0.3190,1.8183,2.4800,0.0000,-0.6617
2024-09-03 10:00:00,2024-09-03 10:00:00,direct_entry,2024-10-02 16:00:00,expiry,79,86,2.0089,0.3524,1.6565,1.4800,0.0000,0.1765
2024-09-13 11:05:00,2024-09-13 11:05:00,direct_entry,2024-10-16 16:00:00,expiry,82,90,2.1057,0.3386,1.7671,0.0000,0.0000,1.7671
2024-09-23 10:40:00,2024-09-23 10:40:00,direct_entry,2024-10-23 16:00:00,expiry,82,89,1.9027,0.3531,1.5497,1.2600,0.0000,0.2897
2024-09-30 15:25:00,2024-09-30 15:25:00,direct_entry,2024-10-30 16:00:00,expiry,82,90,2.1227,0.3127,1.8100,0.0000,0.0000,1.8100
2024-10-22 13:10:00,2024-10-22 13:10:00,direct_entry,2024-11-20 16:00:00,expiry,84,91,1.8545,0.3419,1.5126,3.1000,0.0000,-1.5874
2024-11-13 14:30:00,2024-11-13 14:30:00,direct_entry,2024-12-11 16:00:00,expiry,87,95,2.1863,0.3399,1.8464,8.0400,0.0400,-6.1536
2024-11-21 11:00:00,2024-11-21 11:00:00,direct_entry,2024-12-26 04:00:00,expiry,90,99,2.4096,0.3857,2.0239,2.6800,0.0000,-0.6561
2024-12-26 09:45:00,2024-12-26 09:45:00,direct_entry,2025-01-29 16:00:00,expiry,95,104,2.3203,0.3975,1.9227,2.5000,0.0000,-0.5773
2025-01-10 13:40:00,2025-01-10 13:40:00,direct_entry,2025-02-12 16:00:00,expiry,95,104,2.5490,0.4446,2.1045,8.3300,0.0000,-6.2255
2025-01-24 10:25:00,2025-01-24 10:25:00,direct_entry,2025-02-26 16:00:00,expiry,97,106,2.3461,0.4067,1.9393,0.0000,0.0000,1.9393
2025-01-29 11:25:00,2025-01-29 11:25:00,direct_entry,2025-02-26 16:00:00,expiry,100,108,2.3503,0.4703,1.8800,0.0000,0.0000,1.8800
2025-01-30 15:25:00,2025-01-30 15:25:00,direct_entry,2025-03-05 16:00:00,expiry,101,111,2.6437,0.4251,2.2186,0.0000,0.0000,2.2186
2025-02-04 11:35:00,2025-02-04 11:35:00,direct_entry,2025-03-05 16:00:00,expiry,102,111,2.6284,0.4673,2.1611,0.0000,0.0000,2.1611
2025-02-05 08:00:00,2025-02-05 08:00:00,direct_entry,2025-03-05 16:00:00,expiry,103,112,2.4168,0.4077,2.0091,0.0000,0.0000,2.0091
2025-03-31 14:30:00,2025-03-31 14:30:00,direct_entry,2025-04-30 16:00:00,expiry,89,97,2.1397,0.3625,1.7772,8.2500,0.2500,-6.2228
2025-05-05 11:00:00,2025-05-05 11:00:00,direct_entry,2025-06-04 16:00:00,expiry,101,110,2.6463,0.4785,2.1677,0.0000,0.0000,2.1677
2025-05-20 09:30:00,2025-05-20 09:30:00,direct_entry,2025-06-18 16:00:00,expiry,100,109,2.4130,0.3992,2.0138,0.0000,0.0000,2.0138
2025-05-27 11:00:00,2025-05-27 11:00:00,direct_entry,2025-06-25 16:00:00,expiry,100,108,2.2449,0.4519,1.7929,0.0000,0.0000,1.7929
2025-06-20 14:25:00,2025-06-20 14:25:00,direct_entry,2025-07-23 16:00:00,expiry,98,107,2.6265,0.4868,2.1396,0.0000,0.0000,2.1396
2025-06-23 15:05:00,2025-06-23 15:05:00,direct_entry,2025-07-23 16:00:00,expiry,99,108,2.6052,0.4512,2.1539,0.0000,0.0000,2.1539
2025-06-24 08:00:00,2025-06-24 08:00:00,direct_entry,2025-07-23 16:00:00,expiry,100,109,2.4383,0.4063,2.0320,0.0000,0.0000,2.0320
2025-07-01 10:50:00,2025-07-01 10:50:00,direct_entry,2025-07-30 16:00:00,expiry,101,110,2.4731,0.4202,2.0529,0.0000,0.0000,2.0529
2025-07-14 16:00:00,2025-07-14 16:00:00,direct_entry,2025-08-13 16:00:00,expiry,98,106,2.2736,0.4567,1.8169,3.0700,0.0000,-1.2531
2025-07-24 15:15:00,2025-07-24 15:15:00,direct_entry,2025-08-27 16:00:00,expiry,99,108,2.5773,0.4916,2.0857,0.0000,0.0000,2.0857
2025-07-29 13:20:00,2025-07-29 13:20:00,direct_entry,2025-08-27 16:00:00,expiry,101,109,2.2676,0.4638,1.8038,0.0000,0.0000,1.8038
2025-08-06 14:35:00,2025-08-06 14:35:00,direct_entry,2025-09-03 16:00:00,expiry,106,114,2.2995,0.4919,1.8076,0.0000,0.0000,1.8076
2025-08-08 10:40:00,2025-08-08 10:40:00,direct_entry,2025-09-10 16:00:00,expiry,107,117,2.7067,0.4726,2.2341,0.0000,0.0000,2.2341
2025-08-19 10:10:00,2025-08-19 10:10:00,direct_entry,2025-09-17 16:00:00,expiry,104,113,2.5299,0.4551,2.0747,0.2900,0.0000,1.7847
2025-08-20 15:05:00,2025-08-20 15:05:00,direct_entry,2025-09-17 16:00:00,expiry,105,113,2.2748,0.4779,1.7968,0.0000,0.0000,1.7968
2025-09-03 13:40:00,2025-09-03 13:40:00,direct_entry,2025-10-01 16:00:00,expiry,101,109,2.2543,0.4477,1.8066,0.9600,0.0000,0.8466
2025-09-04 11:25:00,2025-09-04 11:25:00,direct_entry,2025-10-08 16:00:00,expiry,103,113,2.6806,0.4499,2.2307,0.0000,0.0000,2.2307
2025-09-08 13:00:00,2025-09-08 13:00:00,direct_entry,2025-10-08 16:00:00,expiry,104,113,2.4963,0.4571,2.0392,0.0000,0.0000,2.0392
2025-09-17 15:30:00,2025-09-17 15:30:00,direct_entry,2025-10-15 16:00:00,expiry,107,116,2.5306,0.4589,2.0716,2.0500,0.0000,0.0216
2025-09-25 10:15:00,2025-09-25 10:15:00,direct_entry,2025-10-29 16:00:00,expiry,105,115,2.9365,0.5322,2.4043,0.0000,0.0000,2.4043
2025-10-15 10:35:00,2025-10-15 10:35:00,direct_entry,2025-11-12 16:00:00,expiry,111,121,2.7296,0.4408,2.2888,0.0000,0.0000,2.2888
2025-11-07 10:10:00,2025-11-07 10:10:00,direct_entry,2025-12-10 16:00:00,expiry,105,114,2.5202,0.5079,2.0124,8.1800,0.0000,-6.1676
2025-11-17 12:25:00,2025-11-17 12:25:00,direct_entry,2025-12-17 16:00:00,expiry,105,115,2.7147,0.4234,2.2913,10.6600,0.6600,-7.7087
2025-11-20 14:35:00,2025-11-20 14:35:00,direct_entry,2025-12-24 16:15:00,expiry,109,120,2.9843,0.4721,2.5122,2.4800,0.0000,0.0322
2025-11-21 09:30:00,2025-11-21 09:30:00,direct_entry,2025-12-24 16:15:00,expiry,110,120,2.7932,0.5170,2.2762,1.4800,0.0000,0.7962
2025-11-25 13:05:00,2025-11-25 13:05:00,direct_entry,2025-12-24 16:15:00,expiry,109,118,2.5787,0.5000,2.0787,2.4800,0.0000,-0.4013
2025-12-01 16:00:00,2025-12-01 16:00:00,direct_entry,2025-12-31 16:00:00,expiry,114,124,2.7480,0.4892,2.2589,0.0000,0.0000,2.2589
2025-12-03 15:10:00,2025-12-03 15:10:00,direct_entry,2025-12-31 16:00:00,expiry,117,127,2.7794,0.4893,2.2900,0.0000,0.0000,2.2900
2025-12-09 15:50:00,2025-12-09 15:50:00,direct_entry,2026-01-07 16:00:00,expiry,117,127,2.9471,0.5492,2.3978,0.0000,0.0000,2.3978
2025-12-29 14:55:00,2025-12-29 14:55:00,direct_entry,2026-01-28 16:00:00,expiry,115,125,2.7076,0.4855,2.2221,1.9700,0.0000,0.2521
2026-01-30 14:25:00,2026-01-30 14:25:00,direct_entry,2026-03-04 16:00:00,expiry,121,133,3.2592,0.5169,2.7423,6.5700,0.0000,-3.8277
2026-02-02 12:10:00,2026-02-02 12:10:00,direct_entry,2026-03-04 16:00:00,expiry,126,137,3.0081,0.5404,2.4677,1.5700,0.0000,0.8977
2026-02-03 12:25:00,2026-02-03 12:25:00,direct_entry,2026-03-04 16:00:00,expiry,130,142,3.3196,0.5340,2.7855,0.0000,0.0000,2.7855
2026-02-05 10:20:00,2026-02-05 10:20:00,direct_entry,2026-03-11 16:00:00,expiry,132,144,3.3577,0.6364,2.7213,0.0000,0.0000,2.7213
2026-02-06 15:55:00,2026-02-06 15:55:00,direct_entry,2026-03-11 16:00:00,expiry,134,146,3.4648,0.6618,2.8030,0.0000,0.0000,2.8030
2026-02-11 12:55:00,2026-02-11 12:55:00,direct_entry,2026-03-11 16:00:00,expiry,132,143,3.1870,0.5965,2.5905,0.0000,0.0000,2.5905
2026-02-12 13:50:00,2026-02-12 13:50:00,direct_entry,2026-03-18 16:00:00,expiry,136,149,3.6107,0.6305,2.9802,0.0000,0.0000,2.9802
2026-03-10 13:30:00,2026-03-10 13:30:00,direct_entry,2026-03-27 19:55:00,force_close,129,140,2.8919,0.5129,2.3790,0.0000,0.0000,2.3790
2026-03-13 09:30:00,2026-03-13 09:30:00,direct_entry,2026-03-27 19:55:00,force_close,128,140,3.3474,0.5913,2.7562,0.0000,0.0000,2.7562
