code,interval,option_days,sharpe,win_rate,pnl_ratio,max_dd,recov_factor,total_return,margin_per_trade,max_concurrent,total_trades,peak_margin,score
GS,M5,28,4.02,0.9494,1.67,-0.007,175.0714,1.2255,7411.3924,8,79,59291.1392,180.3169
ES,M15,28,2.72,0.8947,16.65,-0.007,123.2286,0.8626,28605.2632,1,19,28605.2632,126.8112
NQ,H1,14,2.37,0.9333,5.67,-0.007,101.0,0.707,29066.6667,1,15,29066.6667,104.077
SPY,M5,28,4.63,0.9392,0.77,-0.0166,93.28,1.5469,4674.0331,16,181,74784.5304,99.4569
NQ,M5,21,3.21,0.9355,1.71,-0.026,64.62,1.6774,34935.4839,1,31,34935.4839,69.5074
SPY,M15,28,3.23,0.8909,1.07,-0.007,62.8714,0.4401,4849.0909,11,55,53340.0,66.5415
QQQ,M15,28,2.74,0.878,1.73,-0.007,50.2429,0.3517,3702.439,6,41,22214.6341,53.3346
SMH,M5,28,3.32,0.9104,1.62,-0.0094,46.6,0.4378,3179.1045,7,67,22253.7313,50.3578
ES,H1,21,2.05,0.9091,8.41,-0.007,44.2571,0.3098,13545.4545,1,11,13545.4545,46.6169
GS,M15,14,2.14,0.9545,14.91,-0.007,43.9429,0.3076,4454.5455,4,22,17818.1818,46.3905
ES,M5,21,3.16,0.9286,1.27,-0.026,41.09,1.069,25500.0,1,28,25500.0,45.319
TSM,M15,28,2.8,0.9375,0.89,-0.007,37.1429,0.26,2656.25,6,48,15937.5,40.2029
NQ,M15,28,2.67,0.95,1.5,-0.0361,36.17,1.3065,38900.0,1,20,38900.0,40.1465
QQQ,M5,28,4.12,0.881,0.96,-0.0356,34.28,1.2206,4358.3333,14,168,61016.6667,39.6206
JPM,M5,28,3.04,0.9259,1.24,-0.007,35.8143,0.2507,2407.4074,8,54,19259.2593,39.105
ES,M5,7,3.33,0.9091,0.73,-0.0415,33.44,1.386,25500.0,1,28,25500.0,38.156
ES,M15,28,2.44,0.8947,1.71,-0.0321,33.29,1.0672,28605.2632,1,19,28605.2632,36.7972
META,H1,28,2.36,0.9286,31.37,-0.007,33.5429,0.2348,5607.1429,2,14,11214.2857,36.1377
SMH,M15,28,2.82,0.9333,9.54,-0.007,29.8286,0.2088,3391.6667,5,30,16958.3333,32.8574
IWM,M5,14,3.82,0.8631,1.0,-0.0157,27.12,0.4265,1539.2857,10,168,15392.8571,31.3665
AVGO,M15,21,3.17,0.9756,0.99,-0.007,27.2429,0.1907,2890.2439,9,41,26012.1951,30.6036
QQQ,M30,7,2.74,0.9189,0.82,-0.007,26.7429,0.1872,2743.2432,4,37,10972.973,29.6701
NQ,M5,7,3.2,0.8548,0.79,-0.0964,24.13,2.3266,34935.4839,1,31,34935.4839,29.6566
SPY,M30,7,3.0,0.9091,1.18,-0.007,24.2857,0.17,2900.0,5,33,14500.0,27.4557
SOXX,M5,21,3.08,0.92,1.06,-0.0075,23.58,0.1773,1460.0,7,50,10220.0,26.8373
